"CT_ID_10","PropViol2010","PropViol2011","PropViol2012","PropViol2013","PropViol2014","PropViol2015","PropViol2016","PropViol2017","PropViol2018","PropViol2019","PropViol2020","CodeViol2010","CodeViol2011","CodeViol2012","CodeViol2013","CodeViol2014","CodeViol2015","CodeViol2016","CodeViol2017","CodeViol2018","CodeViol2019","CodeViol2020","TotPop","PropViol2010_rate","PropViol2011_rate","PropViol2012_rate","PropViol2013_rate","PropViol2014_rate","PropViol2015_rate","PropViol2016_rate","PropViol2017_rate","PropViol2018_rate","PropViol2019_rate","PropViol2020_rate","CodeViol2010_rate","CodeViol2011_rate","CodeViol2012_rate","CodeViol2013_rate","CodeViol2014_rate","CodeViol2015_rate","CodeViol2016_rate","CodeViol2017_rate","CodeViol2018_rate","CodeViol2019_rate","CodeViol2020_rate"
25025051101,32,11,15,18,29,23,12,7,7,3,10,89,105,140,123,166,273,293,306,338,272,392,7524,42.5305688463583,14.6198830409357,19.9362041467305,23.9234449760766,38.5433280170122,30.56884635832,15.9489633173844,9.30356193514088,9.30356193514088,3.98724082934609,13.290802764487,118.288144603934,139.553429027113,186.071238702818,163.47687400319,220.627325890484,362.838915470494,389.420520999468,406.698564593301,449.22913343966,361.509835194046,520.999468367889
25025051200,14,16,20,12,25,40,11,5,7,5,3,310,188,131,140,457,296,353,148,233,210,205,2891,48.4261501210654,55.3441715669319,69.1802144586648,41.5081286751989,86.475268073331,138.36042891733,38.0491179522657,17.2950536146662,24.2130750605327,17.2950536146662,10.3770321687997,1072.2933241093,650.294015911449,453.130404704255,484.261501210654,1580.76790038049,1023.86717398824,1221.03078519543,511.93358699412,805.949498443445,726.392251815981,709.097198201314
25025060101,3,4,8,10,21,9,12,7,7,5,2,84,140,102,125,112,292,211,317,352,186,300,3497,8.57878181298256,11.4383757506434,22.8767515012868,28.5959393766085,60.0514726908779,25.7363454389477,34.3151272519302,20.017157563626,20.017157563626,14.2979696883043,5.7191878753217,240.205890763512,400.343151272519,291.678581641407,357.449242207607,320.274521018015,835.001429796969,603.37432084644,906.49127823849,1006.57706605662,531.884472404918,857.878181298256
25025060200,2,3,5,1,18,4,18,7,3,5,4,54,65,64,101,77,87,136,160,180,138,208,2295,8.71459694989107,13.0718954248366,21.7864923747277,4.35729847494553,78.4313725490196,17.4291938997821,78.4313725490196,30.5010893246187,13.0718954248366,21.7864923747277,17.4291938997821,235.294117647059,283.22440087146,278.867102396514,440.087145969499,335.511982570806,379.084967320261,592.592592592593,697.167755991286,784.313725490196,601.307189542484,906.318082788671
25025060301,0,3,6,4,13,10,2,13,6,4,7,105,134,82,112,198,208,276,234,235,222,316,3655,0,8.20793433652531,16.4158686730506,10.9439124487004,35.5677154582763,27.359781121751,5.4719562243502,35.5677154582763,16.4158686730506,10.9439124487004,19.1518467852257,287.277701778386,366.621067031464,224.350205198358,306.429548563611,541.72366621067,569.083447332421,755.129958960328,640.218878248974,642.954856361149,607.387140902873,864.569083447332
25025060400,15,8,11,13,33,32,23,6,5,10,14,117,182,176,282,468,481,677,506,622,387,479,5651,26.5439745177845,14.156786409485,19.4655813130419,23.0047779154132,58.3967439391258,56.6271456379402,40.7007609272695,10.6175898071138,8.84799150592815,17.6959830118563,24.7743762165988,207.043001238719,322.066890815785,311.449301008671,499.026720934348,828.172004954875,851.176782870288,1198.01804990267,895.416740399929,1100.69014333746,684.834542558839,847.637586267917
25025060501,13,3,10,5,22,14,9,9,11,3,6,285,178,218,317,371,466,379,470,425,381,545,4071,31.9331859493982,7.36919675755343,24.5639891918448,12.2819945959224,54.0407762220585,34.3895848685827,22.1075902726603,22.1075902726603,27.0203881110292,7.36919675755343,14.7383935151069,700.073691967576,437.239007614837,535.494964382216,778.678457381479,911.32399901744,1144.68189633997,930.975190370916,1154.5074920167,1043.9695406534,935.887988209285,1338.73741095554
25025060600,0,0,6,8,14,17,2,3,5,8,0,146,100,180,205,221,207,120,327,199,183,195,3621,0,0,16.5700082850041,22.0933443800055,38.6633526650097,46.9483568075117,5.52333609500138,8.28500414250207,13.8083402375035,22.0933443800055,0,403.203534935101,276.166804750069,497.100248550124,566.141949737642,610.328638497653,571.665285832643,331.400165700083,903.065451532726,549.571941452637,505.385252692626,538.525269262635
25025060700,0,0,0,0,6,5,7,0,0,0,0,0,0,0,0,0,0,5,13,17,11,10,2615,0,0,0,0,22.9445506692161,19.1204588910134,26.7686424474187,0,0,0,0,0,0,0,0,0,0,19.1204588910134,49.7131931166348,65.0095602294455,42.0650095602294,38.2409177820268
25025060800,13,5,7,7,16,28,19,11,8,3,4,485,226,326,322,438,524,560,564,621,628,827,4317,30.1135047486681,11.5821172110262,16.2149640954366,16.2149640954366,37.0627750752838,64.8598563817466,44.0120454018995,25.4806578642576,18.5313875376419,6.94927032661571,9.26569376882094,1123.46536946954,523.511697938383,755.154042158907,745.888348390086,1014.59346768589,1213.80588371554,1297.19712763493,1306.46282140375,1438.49895760945,1454.71392170489,1915.68218670373
